N!DIST!MUTUAL_INFO
20!Beta(alpha: 8306.416333735366,beta: 66.64315522069539)!8.44794479
20!Uniform(lower: -9946.593159107038,upper: 52.642913544298516)!0
20!Exponential(lam:9580.805713098158)!9.22041647
20!Beta(alpha: 902.4472592404682,beta: 458.845891074727)!6.09023866
20!Cauchy(alpha: 1189.5068283061137,beta: 6232.190565460293)!0.00626848
20!Exponential(lam:9982.357620654546)!9.2241562
20!Normal(mu: -5078.637697129013,sigma: 2749.2785824349667)!0.00576501
20!Uniform(lower: -2668.9686120372817,upper: -108.5998712226144)!0.01169307
20!Cauchy(alpha: 6045.67008521731,beta: 1171.7424079722898)!0.00409442
20!Uniform(lower: -6228.989841006455,upper: 7352.230566726736)!0.00103912
20!Beta(alpha: 7177.562980473872,beta: 574.6636916718412)!7.52792415
20!Beta(alpha: 7177.562980473872,beta: 574.6636916718412)!7.52792415
20!Beta(alpha: 7177.562980473872,beta: 574.6636916718412)!7.52792415
20!Beta(alpha: 7177.562980473872,beta: 574.6636916718412)!7.52792415
20!Exponential(lam:1908.7983034761148)!8.79878375
20!Exponential(lam:1908.7983034761148)!8.79878375
20!Normal(mu: -6205.556054496443,sigma: 2350.3329006800946)!0.00633606
20!Normal(mu: -6205.556054496443,sigma: 5658.104780629823)!0.00641675
20!Beta(alpha: 625.80815923387,beta: 8752.559962751038)!7.66699323
20!Beta(alpha: 625.80815923387,beta: 8752.559962751038)!7.66699323
20!Beta(alpha: 8752.559962751038,beta: 8752.559962751038)!7.30291466
20!Normal(mu: 7965.134393309389,sigma: 625.80815923387)!0.00228808
20!Cauchy(alpha: 652.2504642657854,beta: 737.4440816185883)!0.10039243
20!Cauchy(alpha: 8792.442297233547,beta: 9123.366585898242)!0.00454215
20!Cauchy(alpha: 8792.442297233547,beta: 9123.366585898242)!0.00454215
20!Cauchy(alpha: 8792.442297233547,beta: 9123.366585898242)!0.00454215
20!Normal(mu: -6761.659477938261,sigma: 4553.953947786476)!0
20!Normal(mu: -6761.659477938261,sigma: 4553.953947786476)!0
20!Beta(alpha: 3337.846633135096,beta: 2008.7064946666576)!6.76087826
20!Beta(alpha: 3337.846633135096,beta: 4553.953947786476)!6.92899745
20!Exponential(lam:1646.1455806362337)!8.73010236
20!Exponential(lam:8529.39217335056)!9.20758498
20!Exponential(lam:8529.39217335056)!9.20758498
20!Cauchy(alpha: 9334.13218441829,beta: 9620.298501072642)!0.64710875
20!Cauchy(alpha: 4268.198113278847,beta: 8941.737341809207)!0.00818114
20!Cauchy(alpha: 4965.037673509398,beta: 3972.237683403493)!0.00375201
20!Cauchy(alpha: 4268.198113278847,beta: 8941.737341809207)!0.00818114
20!Exponential(lam:2535.3992105045436)!8.92583698
20!Exponential(lam:7124.221149265988)!9.18053627
20!Cauchy(alpha: 2567.8422829137467,beta: 1058.1483445600454)!0.0021397
20!Cauchy(alpha: 2567.8422829137467,beta: 1058.1483445600454)!0.0021397
20!Cauchy(alpha: 2567.8422829137467,beta: 8692.987232500178)!0.01975805
20!Cauchy(alpha: 3494.6518296218064,beta: 7083.034849988791)!0.00231254
20!Cauchy(alpha: 120.71184330817488,beta: 80.1203230719876)!0.01852865
20!Uniform(lower: -8893.41705619753,upper: 6129.738204275467)!0.00103802
20!Beta(alpha: 8089.504399006117,beta: 3675.830041690542)!7.18730381
20!Exponential(lam:6263.431450149562)!9.16036305
20!Exponential(lam:6263.431450149562)!9.16036305
20!Exponential(lam:6263.431450149562)!9.16036305
20!Exponential(lam:2090.575309327281)!8.84375384
20!Beta(alpha: 3868.189518836763,beta: 3026.6901933816603)!6.85204836
20!Normal(mu: 1758.176323852836,sigma: 2246.507079207571)!0.00127834
20!Cauchy(alpha: 5573.881216092806,beta: 5059.337713100588)!0.00217886
20!Uniform(lower: -6072.601985219673,upper: 9099.847971279822)!0.00103354
20!Uniform(lower: -6072.601985219673,upper: 9099.847971279822)!0.00103354
20!Beta(alpha: 9561.085036827371,beta: 5426.1530288405975)!7.26398401
20!Cauchy(alpha: 625.227832948269,beta: 6005.909176472011)!0.00682732
20!Normal(mu: 2006.563012982983,sigma: 654.92409932737)!0.00973807
20!Beta(alpha: 2477.449108839301,beta: 4098.189168917867)!6.85416776
20!Beta(alpha: 2477.449108839301,beta: 4098.189168917867)!6.85416776
20!Beta(alpha: 18.04704432877121,beta: 7500.14397449723)!8.76588156
20!Beta(alpha: 18.04704432877121,beta: 18.04704432877121)!4.21708899
20!Uniform(lower: -6189.259022945654,upper: 4594.48929305836)!0.00092066
20!Uniform(lower: -7322.813617072087,upper: -3863.509215896049)!0.00109119
20!Uniform(lower: -7322.813617072087,upper: 3863.509215896049)!0.00094855
20!Exponential(lam:9524.89835371972)!9.21928022
20!Beta(alpha: 8630.222454347933,beta: 3397.330466536724)!7.22229538
20!Normal(mu: 24.018059721557798,sigma: 5000.061977126581)!0.00783071
20!Normal(mu: 24.018059721557798,sigma: 5000.061977126581)!0.00783071
20!Normal(mu: 24.018059721557798,sigma: 5000.061977126581)!0.00783071
20!Normal(mu: 24.018059721557798,sigma: 5000.061977126581)!0.00783071
20!Exponential(lam:3.166144404493519)!2.8998327
20!Exponential(lam:6223.813503584165)!9.16172814
20!Beta(alpha: 3459.050743656246,beta: 9820.162598655917)!7.28000253
20!Beta(alpha: 3459.050743656246,beta: 5465.171292078165)!7.00226573
20!Normal(mu: 6373.280052160762,sigma: 5465.171292078165)!0.00897364
20!Beta(alpha: 646.5788686562461,beta: 5000.08805233207)!7.1848769
20!Beta(alpha: 8671.780107585233,beta: 5000.08805233207)!7.21796879
20!Exponential(lam:4587.383554107159)!9.09584839
20!Cauchy(alpha: 5578.995417535569,beta: 4447.19864696005)!0.00272104
20!Cauchy(alpha: 6415.67264465491,beta: 6078.42264315625)!0.00793922
20!Normal(mu: -445.02491590815436,sigma: 6712.324437921309)!0
20!Normal(mu: -445.02491590815436,sigma: 6712.324437921309)!0
20!Normal(mu: -445.02491590815436,sigma: 6712.324437921309)!0
20!Beta(alpha: 5028.464410733991,beta: 8605.31984476931)!7.22538944
20!Uniform(lower: -6148.65341930983,upper: 6717.664361491412)!0.00099702
20!Uniform(lower: -6148.65341930983,upper: 6717.664361491412)!0.00099702
20!Uniform(lower: -4209.865629824771,upper: 9655.980610929784)!0.00103577
20!Beta(alpha: 37.81829707470177,beta: 6252.5431186451915)!8.44408526
20!Beta(alpha: 37.81829707470177,beta: 6868.3816867604255)!8.51564039
20!Beta(alpha: 37.81829707470177,beta: 1405.912748120349)!7.20355831
20!Uniform(lower: -2265.5834710229724,upper: 9655.980610929766)!0.0009973
20!Uniform(lower: -1289.1404993765734,upper: 8510.117223450028)!0.00087973
20!Uniform(lower: -1289.1404993765734,upper: 8510.117223450028)!0.00087973
20!Beta(alpha: 2562.560147364945,beta: 7310.252644554167)!7.14120714
20!Beta(alpha: 2562.560147364945,beta: 7310.252644554167)!7.14120714
20!Beta(alpha: 2562.560147364945,beta: 7310.252644554167)!7.14120714
20!Beta(alpha: 2562.560147364945,beta: 6096.957734430003)!7.05435409
20!Uniform(lower: -7664.160246209666,upper: 5996.357689002728)!0.00104521
20!Cauchy(alpha: 2899.7299155163755,beta: 3255.014790351485)!0.00648904
20!Cauchy(alpha: 2899.7299155163755,beta: 3255.014790351485)!0.00648904
20!Cauchy(alpha: 2899.7299155163755,beta: 3255.014790351485)!0.00648904
20!Normal(mu: -3350.46028925075,sigma: 7267.10164101036)!0.00506922
20!Normal(mu: -3350.46028925075,sigma: 7267.10164101036)!0.00506922
20!Cauchy(alpha: 345.6228043187145,beta: 470.190241586878)!0.00656071
20!Cauchy(alpha: 5467.433458549323,beta: 6704.447742040237)!0
20!Uniform(lower: -7444.189859308697,upper: 8804.351912782753)!0.00104508
20!Uniform(lower: -7444.189859308697,upper: 8804.351912782753)!0.00104508
